,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
83,EC,EC,1572985403,40,-0.33,-78.45,60,21.92,69.8,68.0
84,ZM,ZM,1572985405,69,-14.8,24.8,49,1.14,68.31,68.31
85,MX,MX,1572985406,75,27.03,-101.59,39,8.05,89.01,78.8
86,CA,CA,1572985407,75,66.15,-65.72,85,2.24,23.0,23.0
87,US,US,1572985409,75,40.77,-72.85,87,6.93,60.01,57.0
88,CA,CA,1572985410,100,51.64,-111.93,78,13.0,19.99,19.0
89,RU,RU,1572985411,100,56.37,75.24,72,13.09,29.64,29.64
90,AU,AU,1572985413,5,-33.04,137.58,54,8.05,57.2,57.2
91,PG,PG,1572985414,98,-2.02,147.27,72,18.92,83.26,83.26
92,MV,MV,1572985415,99,5.77,73.38,76,9.26,82.02,82.02
93,CA,CA,1572985417,90,43.84,-66.12,81,14.99,55.0,53.6
94,CN,CN,1572985418,90,34.5,109.46,100,2.24,55.0,50.0
95,RU,RU,1572985419,75,59.7,30.79,86,11.18,36.0,30.99
96,CL,CL,1572985421,0,-22.09,-70.2,22,9.04,72.72,72.72
97,SO,SO,1572985422,0,11.28,49.18,78,10.71,82.02,82.02
98,US,US,1572985423,75,60.55,-151.26,64,14.99,39.0,35.6
99,SN,SN,1572985311,38,14.69,-17.45,74,9.17,80.6,80.6
100,BN,BN,1572985360,90,5.28,115.24,94,3.36,77.0,75.0
101,CA,CA,1572985427,75,55.34,-123.09,53,5.82,26.6,26.6
102,CA,CA,1572985429,90,70.47,-68.59,92,13.87,19.4,19.4
103,RU,RU,1572985430,62,65.61,72.68,86,14.47,11.75,11.75
104,EG,EG,1572985431,0,28.42,30.79,46,7.85,66.0,66.0
105,AU,AU,1572985433,45,-20.31,118.58,21,9.04,75.61,75.61
106,BR,BR,1572985434,96,-17.07,-41.48,51,2.8,79.03,79.03
107,EG,EG,1572985435,100,26.16,32.72,37,3.87,69.8,69.8
108,PK,PK,1572985437,0,29.39,71.66,24,8.37,71.92,71.92
109,TT,TT,1572985438,40,10.28,-61.46,88,6.93,80.6,78.01
110,MZ,MZ,1572985439,0,-25.04,33.64,86,7.18,70.02,70.02
111,MM,MM,1572985441,72,22.93,97.75,99,0.43,60.94,60.94
112,RU,RU,1572985390,100,69.49,88.39,78,17.9,10.4,10.4
113,RU,RU,1572985444,77,64.57,143.24,99,4.9,-4.42,-4.42
114,PG,PG,1572985445,99,-10.62,150.67,91,3.42,75.76,75.76
115,NI,NI,1572985447,75,12.85,-86.1,78,5.93,73.4,73.4
116,CA,CA,1572985448,40,63.59,-135.9,83,2.24,-5.81,-5.81
117,CN,CN,1572985449,100,40.77,114.88,82,2.08,35.65,35.65
118,NL,NL,1572985450,90,51.98,5.66,100,3.36,50.0,46.0
119,CA,CA,1572985452,100,49.65,-108.41,93,11.95,31.39,31.39
120,FR,FR,1572985453,0,45.6,-0.6,81,9.17,51.8,50.0
121,JP,JP,1572985455,1,35.74,139.53,81,6.93,55.99,41.0
122,TR,TR,1572985456,25,40.98,37.88,67,5.82,59.0,59.0
123,MD,MD,1572985457,1,47.14,28.61,66,6.93,55.4,54.0
124,CA,CA,1572985344,90,51.26,-80.61,85,18.34,23.0,23.0
